,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
19,CA-501,5.218356773,15.24647029,62.38944819,4.682801247,2.237866062,7.086158816,51.28,1805,2.866588443,35.98324033,3.192785087,5.208155754,26.30924413,870044,44604,6857,Urban,78.81210605,1537.306071,CA
20,CA-502,10.77660157,22.45306321,46.73590867,5.055587932,3.584932009,5.597430482,46.24,1674,2.69447344,24.10197776,3.890789453,5.078143116,26.60680173,1643700,82125,5496,Urban,33.43675853,669.2237443,CA
21,CA-503,9.871637717,22.98143803,44.01758114,7.366082882,4.744705977,7.716186997,45.83,1184,4.075163135,26.2648103,7.010726867,6.927757149,26.46257706,1510023,103194,3621,Urban,23.9797672,350.8924937,CA
22,CA-504,1.587817688,26.52712755,39.21326298,5.07296864,2.054515974,5.03330006,45.78,1549,2.752245869,27.79036543,6.625428212,4.778631851,32.61788449,501317,23630,2996,Suburban,59.76258535,1267.879814,CA
23,CA-505,8.588860151,25.42261308,34.35047173,6.101193029,2.581339207,5.159364429,47.03,1702,2.917419873,21.99338733,5.537624165,4.178556525,29.17995812,1133247,46961,2234,Suburban,19.71326639,475.7138902,CA
24,CA-506,2.362837679,58.42867235,47.4059753,5.634418092,2.233086681,4.598308668,45.43015525,1410.166381,4.268224974,20.61171692,5.565672247,4.911418089,24.61512541,492628,23334,3299,Rural,66.96736686,1413.816748,CA
25,CA-507,2.193280701,15.88005916,36.15687169,3.770117299,1.007999392,3.271960326,51.58,1970,2.538819284,30.58389861,5.488873123,3.723264005,35.60575501,260295,9461,1095,Suburban,42.06765401,1157.38294,CA
26,CA-508,0.948258543,33.48711486,40.60633276,6.271755216,2.387317766,4.557416768,48.26,1647,1.958873648,25.67567568,4.819107226,6.66496386,29.7583694,273765,17483,2320,Suburban,84.74421493,1327.003375,CA
27,CA-509,0.607398595,24.79810574,40.82428865,9.234879299,3.35288941,8.113816368,47.36,1100,2.081604426,31.1938985,8.843726258,7.670447928,34.70522294,87422,6586,880,Rural,100.6611608,1336.167628,CA
28,CA-510,2.880395178,45.60959464,42.62343498,10.5082401,4.955351455,8.615258104,44.51,1099,2.779419684,20.51400841,5.605358299,6.592242351,24.74962961,539301,35218,1356,Suburban,25.14365818,385.0303822,CA
29,CA-511,7.104909507,41.14327544,44.38377432,8.66641953,4.507182647,8.579922109,45.46,1159,3.558387219,20.28562985,5.712981873,6.598557023,24.54972057,732212,47375,1685,Urban,23.01246087,355.6728232,CA
30,CA-512,2.330354403,24.67598425,40.12115937,4.106983697,1.6307273,3.439338242,48.52,2158,3.590088412,22.72558967,4.173470519,3.451103337,28.65765372,765935,26221,1238,Suburban,16.16325145,472.1406506,CA
31,CA-513,2.786494844,61.63324336,44.40424735,9.137756329,8.701024933,7.517291896,46.54466917,920.4687447,3.090801359,18.15299624,5.851872405,9.742630537,21.46647624,610552,57452,967,Urban,15.83812681,168.314419,CA
32,CA-514,4.624129523,53.36599176,45.74120664,9.220940628,7.751951297,8.600590183,47.3342672,969.5991839,3.639051843,21.32359044,5.360050001,10.43156056,23.14323964,1133143,115623,2144,Urban,18.92082464,185.4302345,CA
33,CA-515,1.429975645,12.89294591,27.79114918,5.233419421,1.921075097,4.277256079,45.0708795,1413.161275,4.727110051,25.43331589,9.239178254,4.325282116,33.01695227,479169,20529,950,Suburban,19.82599041,462.7599981,CA
34,CA-516,2.152975776,11.98200134,34.74214971,6.670862177,3.656636878,8.784947118,46.0639149,942.035513,3.277984864,29.64827417,10.26640335,7.418653331,33.86358607,311801,21867,1149,Rural,36.85042704,525.4493072,CA
35,CA-517,2.040133779,33.93367964,36.25387502,4.996247454,2.070076685,5.084434655,47.19,1621,3.907934455,25.12848752,7.001691405,3.576740253,30.4440333,140530,4906,322,Urban,22.91325696,656.3391765,CA
36,CA-518,14.09846533,26.08852302,39.34271167,7.037544885,3.238141239,5.942965244,42.31,1498,3.41984982,22.03505806,9.765963336,4.588407619,29.31407201,438530,19641,1129,Urban,25.74510296,574.8179828,CA
37,CA-519,1.531212155,16.01144996,40.82975218,8.736164934,4.274341279,8.772192587,48.93,1016,7.36596041,28.91689805,8.286686484,9.184268454,29.14587691,227075,20319,1125,Rural,49.5431025,553.6689798,CA
